,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師,course_len,weather,race_type,ground_state,date,horse_id,jockey_id
201001010802,9,8,10,シゲルトウカツカン,牡2,54.0,柴山雄一,1:11.6,3/4,231.2,11.0,452(-4),[西] 小原伊佐,1200,晴,芝,良,2010年9月5日,2008101143,05243
201001010802,10,6,7,トウケイローズ,牝2,54.0,三浦皇成,1:12.0,2.1/2,10.6,4.0,422(0),[西] 五十嵐忠,1200,晴,芝,良,2010年9月5日,2008102250,01122
201001010802,11,6,6,ニシエイコメット,牝2,54.0,芹沢純一,1:12.4,2.1/2,206.1,10.0,446(0),[西] 鹿戸明,1200,晴,芝,良,2010年9月5日,2008105388,00674
201001010803,1,8,13,トータルシーオー,牡3,56.0,三浦皇成,1:47.8,,4.2,2.0,460(+2),[東] 天間昭一,1700,晴,ダート,良,2010年9月5日,2007105146,01122
201001010803,2,4,4,タカミツボード,牡3,56.0,勝浦正樹,1:48.2,2.1/2,8.8,6.0,476(0),[東] 高橋裕,1700,晴,ダート,良,2010年9月5日,2007102108,01025
201001010803,3,4,5,スコアズビー,牝3,54.0,横山典弘,1:48.4,1,3.5,1.0,452(+8),[東] 国枝栄,1700,晴,ダート,良,2010年9月5日,2007103203,00660
201001010803,4,3,3,アドマイヤベルナ,牡3,56.0,上村洋行,1:48.5,3/4,106.8,11.0,466(-2),[西] 友道康夫,1700,晴,ダート,良,2010年9月5日,2007103288,00709
201001010803,5,6,8,ピサノドラクロワ,牡3,56.0,秋山真一,1:48.7,1.1/4,6.8,3.0,472(-8),[東] 堀宣行,1700,晴,ダート,良,2010年9月5日,2007102996,01019
201001010803,6,7,11,エンジェルブレス,牡3,56.0,藤田伸二,1:48.7,クビ,7.2,4.0,448(+2),[西] 田所秀孝,1700,晴,ダート,良,2010年9月5日,2007104456,00705
201001010803,7,2,2,ワンダーダーク,牡3,56.0,荻野琢真,1:49.2,3,9.1,7.0,446(0),[西] 羽月友彦,1700,晴,ダート,良,2010年9月5日,2007105200,01112
201001010803,8,5,6,セーリオフィリア,牝3,54.0,丸田恭介,1:49.8,3.1/2,87.2,10.0,414(+12),[東] 相沢郁,1700,晴,ダート,良,2010年9月5日,2007106092,01117
201001010803,9,5,7,マルタノホシ,牡3,56.0,服部茂史,1:49.9,クビ,41.1,9.0,496(+2),[東] 萱野浩二,1700,晴,ダート,良,2010年9月5日,2007105238,05286
201001010803,10,1,1,ウインボナパルト,牡3,55.0,丸山元気,1:50.2,1.3/4,8.4,5.0,492(-24),[東] 松山康久,1700,晴,ダート,良,2010年9月5日,2007104999,01127
201001010803,11,6,9,キャンディポップ,牝3,54.0,池添謙一,1:50.5,2,185.8,12.0,440(-6),[西] 岡田稲男,1700,晴,ダート,良,2010年9月5日,2007105498,01032
201001010803,12,7,10,マコトジョセフィン,牝3,54.0,武英智,1:52.0,9,264.4,13.0,458(-2),[東] 的場均,1700,晴,ダート,良,2010年9月5日,2007101167,01048
201001010803,13,8,12,バシュペリーゴ,牡3,53.0,西村太一,1:52.6,3.1/2,21.8,8.0,444(+6),[西] 中村均,1700,晴,ダート,良,2010年9月5日,2007100946,01131
201001010804,1,8,11,ルルーシュ,牡2,54.0,横山典弘,1:50.8,,1.4,1.0,494(0),[東] 藤沢和雄,1800,曇,芝,良,2010年9月5日,2008102912,00660
201001010804,2,4,4,アドマイヤバートン,牡2,54.0,池添謙一,1:50.8,ハナ,9.5,3.0,462(0),[西] 松田博資,1800,曇,芝,良,2010年9月5日,2008103047,01032
201001010804,3,1,1,プリンスヴィル,牡2,54.0,武幸四郎,1:51.0,1.1/2,4.4,2.0,488(0),[西] 浅見秀一,1800,曇,芝,良,2010年9月5日,2008102616,01026
201001010804,4,3,3,ミライポケット,牝2,53.0,丸山元気,1:51.4,2.1/2,30.8,5.0,442(0),[西] 北出成人,1800,曇,芝,良,2010年9月5日,2008103551,01127
201001010804,5,8,12,ジャックバローズ,牡2,54.0,勝浦正樹,1:51.8,2.1/2,53.0,8.0,474(0),[西] 藤沢則雄,1800,曇,芝,良,2010年9月5日,2008102308,01025
201001010804,6,7,10,ベルウッドサヴァン,牡2,54.0,柴山雄一,1:51.8,クビ,66.3,9.0,452(0),[東] 中川公成,1800,曇,芝,良,2010年9月5日,2008103597,05243
201001010804,7,2,2,タマモエスプレッソ,牡2,54.0,藤岡佑介,1:52.4,3.1/2,33.8,6.0,498(0),[西] 藤岡健一,1800,曇,芝,良,2010年9月5日,2008100888,01093
201001010804,8,6,7,メダリオンスター,牝2,54.0,秋山真一,1:52.6,1,21.4,4.0,468(0),[西] 西園正都,1800,曇,芝,良,2010年9月5日,2008103229,01019
201001010804,9,6,8,リコウ,牡2,54.0,三浦皇成,1:52.8,1.1/2,75.4,10.0,466(0),[西] 加用正,1800,曇,芝,良,2010年9月5日,2008104007,01122
201001010804,10,5,5,バーガンディミック,牡2,54.0,吉田稔,1:55.8,大,35.3,7.0,406(0),[西] 松永幹夫,1800,曇,芝,良,2010年9月5日,2008105822,05041
201001010804,11,7,9,コパノストーム,牡2,54.0,宮崎北斗,1:56.4,3.1/2,244.1,11.0,448(0),[西] 村山明,1800,曇,芝,良,2010年9月5日,2008106251,01118
201001010804,除,5,6,ジャイアントブルー,牡2,54.0,藤田伸二,,,---,,494(0),[西] 加藤敬二,1800,曇,芝,良,2010年9月5日,2008104459,00705
201001010805,1,8,12,ペガサスダンディー,牡3,56.0,池添謙一,1:49.0,,7.8,4.0,462(+2),[西] 羽月友彦,1700,曇,ダート,良,2010年9月5日,2007106427,01032
201001010805,2,6,9,タツパーシヴ,牡3,56.0,横山典弘,1:49.0,ハナ,1.8,1.0,470(-2),[西] 鮫島一歩,1700,曇,ダート,良,2010年9月5日,2007110072,00660
201001010805,3,5,7,センチュリーボーイ,牡3,53.0,国分優作,1:49.2,1.1/4,85.7,10.0,496(+6),[東] 国枝栄,1700,曇,ダート,良,2010年9月5日,2007102786,01125
201001010805,4,2,2,サトノレジェンド,牡3,56.0,藤岡佑介,1:49.3,3/4,4.7,2.0,530(+6),[東] 堀宣行,1700,曇,ダート,良,2010年9月5日,2007103146,01093
201001010805,5,3,3,スズノチーフベアー,牡3,56.0,荻野琢真,1:49.3,ハナ,7.4,3.0,440(-6),[西] 五十嵐忠,1700,曇,ダート,良,2010年9月5日,2007105315,01112
201001010805,6,4,4,エイダイボルト,牡3,56.0,秋山真一,1:49.4,3/4,14.9,5.0,418(0),[東] 武市康男,1700,曇,ダート,良,2010年9月5日,2007102466,01019
201001010805,7,7,11,エアレモネード,牝3,54.0,藤田伸二,1:49.6,1.1/4,21.4,6.0,438(0),[西] 笹田和秀,1700,曇,ダート,良,2010年9月5日,2007110078,00705
201001010805,8,8,13,メイビーズエイム,牝3,54.0,丸田恭介,1:49.7,1/2,131.3,12.0,464(+16),[東] 手塚貴久,1700,曇,ダート,良,2010年9月5日,2007103627,01117
201001010805,9,7,10,カネトシビーンズ,牡3,56.0,柴原央明,1:50.0,1.3/4,31.0,7.0,440(0),[西] 田中章博,1700,曇,ダート,良,2010年9月5日,2007105696,01074
201001010805,10,6,8,フィールザタレント,牝3,54.0,黛弘人,1:50.6,3.1/2,91.4,11.0,482(0),[東] 鹿戸雄一,1700,曇,ダート,良,2010年9月5日,2007110118,01109
201001010805,11,5,6,カルヴァドス,牝3,54.0,勝浦正樹,1:50.9,1.3/4,78.6,9.0,416(-12),[東] 河野通文,1700,曇,ダート,良,2010年9月5日,2007106705,01025
201001010805,12,1,1,ベルモントロザリオ,牡3,56.0,宮崎北斗,1:51.1,1.1/4,161.8,13.0,494(-12),[東] 嶋田潤,1700,曇,ダート,良,2010年9月5日,2007104944,01118
201001010805,13,4,5,ドンシクラス,牡3,55.0,丸山元気,1:53.6,大,38.5,8.0,500(-8),[東] 鈴木伸尋,1700,曇,ダート,良,2010年9月5日,2007105160,01127
201001010806,1,5,9,コングラチュレート,牡3,56.0,秋山真一,2:02.8,,18.1,10.0,446(-16),[西] 須貝尚介,2000,曇,芝,良,2010年9月5日,2007100813,01019
201001010806,2,4,7,ラスティングソング,牝3,54.0,上村洋行,2:03.1,2,10.5,5.0,414(-8),[西] 友道康夫,2000,曇,芝,良,2010年9月5日,2007103282,00709
201001010806,3,1,1,セヴンスターズ,牝3,54.0,柴山雄一,2:03.1,ハナ,89.9,12.0,490(0),[東] 松山将樹,2000,曇,芝,良,2010年9月5日,2007103379,05243
201001010806,4,1,2,ルナーコロナ,牝3,54.0,池添謙一,2:03.1,ハナ,7.6,3.0,426(+14),[西] 松田国英,2000,曇,芝,良,2010年9月5日,2007102746,01032
201001010806,5,3,5,アドマイヤキャロル,牝3,54.0,勝浦正樹,2:03.2,クビ,7.7,4.0,484(-2),[東] 戸田博文,2000,曇,芝,良,2010年9月5日,2007103249,01025
201001010806,6,3,6,バルトーロ,牡3,56.0,吉田稔,2:03.3,3/4,10.9,6.0,438(0),[西] 角居勝彦,2000,曇,芝,良,2010年9月5日,2007103345,05041
201001010806,7,2,4,ヴォイスメール,牡3,56.0,藤岡佑介,2:03.3,アタマ,59.7,11.0,460(0),[西] 中村均,2000,曇,芝,良,2010年9月5日,2007102875,01093
201001010806,8,7,14,マツリダジャパン,牡3,56.0,吉田隼人,2:03.5,1.1/4,6.7,2.0,476(-2),[東] 国枝栄,2000,曇,芝,良,2010年9月5日,2007100112,01095
201001010806,9,8,15,ニシノマザーアース,牝3,54.0,藤田伸二,2:04.2,4,14.4,9.0,464(+2),[東] 水野貴広,2000,曇,芝,良,2010年9月5日,2007102501,00705
201001010806,10,2,3,オファニエル,牝3,54.0,武幸四郎,2:04.4,1.1/2,205.5,15.0,454(+10),[西] 梅田智之,2000,曇,芝,良,2010年9月5日,2007105592,01026
201001010806,11,8,16,オウケンドラゴン,牡3,55.0,丸山元気,2:04.6,1,14.1,8.0,464(+2),[西] 小崎憲,2000,曇,芝,良,2010年9月5日,2007103125,01127
201001010806,12,6,11,ジョリーロジャー,牡3,53.0,川須栄彦,2:04.8,1.1/4,202.3,14.0,520(+14),[西] 柴田政見,2000,曇,芝,良,2010年9月5日,2007101712,01128
201001010806,13,6,12,トーアレオ,牡3,56.0,古川吉洋,2:04.8,アタマ,117.1,13.0,472(+2),[東] 上原博之,2000,曇,芝,良,2010年9月5日,2007102470,01015
201001010806,14,7,13,スターペスゴンタ,牡3,56.0,長谷川浩,2:04.9,1/2,354.8,16.0,454(-6),[西] 西浦勝一,2000,曇,芝,良,2010年9月5日,2007102071,01084
201001010806,15,4,8,シャインドリーム,牝3,54.0,三浦皇成,2:05.0,1/2,12.1,7.0,418(+2),[東] 根本康広,2000,曇,芝,良,2010年9月5日,2007102773,01122
201001010806,16,5,10,ゴルトブリッツ,牡3,56.0,横山典弘,2:05.1,3/4,3.0,1.0,508(0),[東] 藤沢和雄,2000,曇,芝,良,2010年9月5日,2007103389,00660
201001010807,1,8,15,ユキノラムセス,牡3,56.0,池添謙一,1:10.7,,3.4,1.0,464(+4),[東] 和田正一,1200,曇,芝,良,2010年9月5日,2007100871,01032
